sim_num	time	gamete_num	prop	gamete_value
0	0	-1	0.5	0.1
0	1	-1	1	0.1
0	2	-1	0.5	0.1
0	3	-1	0	0.1
0	0	0	0.0303334	0
0	0	1	0.037207	0.149951
0	0	2	0.043794	0.1891
0	0	3	0.0438838	0.339051
0	1	0	0.0283094	0
0	1	1	0.0332964	0.149951
0	1	2	0.037827	0.1891
0	1	3	0.0529243	0.339051
0	2	0	0.0282841	0
0	2	1	0.0344155	0.149951
0	2	2	0.0403166	0.1891
0	2	3	0.0503178	0.339051
0	3	0	0.036964	0
0	3	1	0.0414606	0.149951
0	3	2	0.0468554	0.1891
0	3	3	0.041265	0.339051
1	0	-1	0.5	0.1
1	1	-1	1	0.1
1	2	-1	0.5	0.1
1	3	-1	0	0.1
1	0	0	0.0247392	0
1	0	1	0.0321493	0.0520782
1	0	2	0.0363428	0.169325
1	0	3	0.0433537	0.221404
1	1	0	0.020352	0
1	1	1	0.0244025	0.0520782
1	1	2	0.0292229	0.169325
1	1	3	0.0399625	0.221404
1	2	0	0.0223879	0
1	2	1	0.0275869	0.0520782
1	2	2	0.0323651	0.169325
1	2	3	0.0420435	0.221404
1	3	0	0.0321047	0
1	3	1	0.0413406	0.0520782
1	3	2	0.0412923	0.169325
1	3	3	0.0458773	0.221404
2	0	-1	0.5	0.1
2	1	-1	1	0.1
2	2	-1	0.5	0.1
2	3	-1	0	0.1
2	0	0	0.0315042	0
2	0	1	0.0349572	0.169212
2	0	2	0.0406184	0.0921967
2	0	3	0.0419839	0.261409
2	1	0	0.0287009	0
2	1	1	0.0323284	0.169212
2	1	2	0.0333783	0.0921967
2	1	3	0.0423157	0.261409
2	2	0	0.0293717	0
2	2	1	0.0332318	0.169212
2	2	2	0.0361003	0.0921967
2	2	3	0.0423145	0.261409
2	3	0	0.0379825	0
2	3	1	0.0392686	0.169212
2	3	2	0.0486431	0.0921967
2	3	3	0.0439262	0.261409
3	0	-1	0.5	0.1
3	1	-1	1	0.1
3	2	-1	0.5	0.1
3	3	-1	0	0.1
3	0	0	0.0285725	0
3	0	1	0.0366721	0.146527
3	0	2	0.0375574	0.0714761
3	0	3	0.0455343	0.218003
3	1	0	0.0208949	0
3	1	1	0.0371909	0.146527
3	1	2	0.0269922	0.0714761
3	1	3	0.0488021	0.218003
3	2	0	0.0244754	0
3	2	1	0.036395	0.146527
3	2	2	0.0319036	0.0714761
3	2	3	0.0466814	0.218003
3	3	0	0.0362839	0
3	3	1	0.0417747	0.146527
3	3	2	0.0473282	0.0714761
3	3	3	0.0504876	0.218003
4	0	-1	0.5	0.1
4	1	-1	1	0.1
4	2	-1	0.5	0.1
4	3	-1	0	0.1
4	0	0	0.0303994	0
4	0	1	0.0406947	0.134159
4	0	2	0.0375267	0.143044
4	0	3	0.0480304	0.277203
4	1	0	0.0277272	0
4	1	1	0.0425886	0.134159
4	1	2	0.0311119	0.143044
4	1	3	0.0503255	0.277203
4	2	0	0.0281569	0
4	2	1	0.0410264	0.134159
4	2	2	0.0335992	0.143044
4	2	3	0.0495134	0.277203
4	3	0	0.0365346	0
4	3	1	0.0454241	0.134159
4	3	2	0.0440875	0.143044
4	3	3	0.0484962	0.277203
5	0	-1	0.5	0.1
5	1	-1	1	0.1
5	2	-1	0.5	0.1
5	3	-1	0	0.1
5	0	0	0.0251783	0
5	0	1	0.0344321	0.194989
5	0	2	0.0443429	0.221388
5	0	3	0.0399584	0.416377
5	1	0	0.0231931	0
5	1	1	0.0287148	0.194989
5	1	2	0.0344166	0.221388
5	1	3	0.0563251	0.416377
5	2	0	0.022981	0
5	2	1	0.0306684	0.194989
5	2	2	0.0385215	0.221388
5	2	3	0.0511249	0.416377
5	3	0	0.0327369	0
5	3	1	0.0368415	0.194989
5	3	2	0.0444448	0.221388
5	3	3	0.0337525	0.416377
6	0	-1	0.5	0.1
6	1	-1	1	0.1
6	2	-1	0.5	0.1
6	3	-1	0	0.1
6	0	0	0.0236234	0
6	0	1	0.0352963	0.192395
6	0	2	0.0415491	0.204548
6	0	3	0.0403313	0.396943
6	1	0	0.0180399	0
6	1	1	0.0312562	0.192395
6	1	2	0.0293066	0.204548
6	1	3	0.0589035	0.396943
6	2	0	0.020127	0
6	2	1	0.033393	0.192395
6	2	2	0.0349036	0.204548
6	2	3	0.0530406	0.396943
6	3	0	0.0321168	0
6	3	1	0.0367093	0.192395
6	3	2	0.0428506	0.204548
6	3	3	0.0340374	0.396943
7	0	-1	0.5	0.1
7	1	-1	1	0.1
7	2	-1	0.5	0.1
7	3	-1	0	0.1
7	0	0	0.0276791	0
7	0	1	0.0373835	0.129879
7	0	2	0.0431088	0.121906
7	0	3	0.0501194	0.251785
7	1	0	0.0223598	0
7	1	1	0.0358395	0.129879
7	1	2	0.0344637	0.121906
7	1	3	0.059795	0.251785
7	2	0	0.02481	0
7	2	1	0.036524	0.129879
7	2	2	0.0382032	0.121906
7	2	3	0.0569549	0.251785
7	3	0	0.0355265	0
7	3	1	0.0425625	0.129879
7	3	2	0.0507008	0.121906
7	3	3	0.0522711	0.251785
8	0	-1	0.5	0.1
8	1	-1	1	0.1
8	2	-1	0.5	0.1
8	3	-1	0	0.1
8	0	0	0.0275387	0
8	0	1	0.033505	0.00747232
8	0	2	0.03818	0.0129219
8	0	3	0.0507147	0.0203943
8	1	0	0.0244622	0
8	1	1	0.0289799	0.00747232
8	1	2	0.0312663	0.0129219
8	1	3	0.0397722	0.0203943
8	2	0	0.0250448	0
8	2	1	0.0299541	0.00747232
8	2	2	0.0329868	0.0129219
8	2	3	0.0423344	0.0203943
8	3	0	0.0340923	0
8	3	1	0.041845	0.00747232
8	3	2	0.0486613	0.0129219
8	3	3	0.0644589	0.0203943
9	0	-1	0.5	0.1
9	1	-1	1	0.1
9	2	-1	0.5	0.1
9	3	-1	0	0.1
9	0	0	0.033567	0
9	0	1	0.0379703	0.150689
9	0	2	0.0405139	0.16516
9	0	3	0.0423608	0.315849
9	1	0	0.031133	0
9	1	1	0.0364988	0.150689
9	1	2	0.0361378	0.16516
9	1	3	0.0461727	0.315849
9	2	0	0.0314272	0
9	2	1	0.0366683	0.150689
9	2	2	0.0378839	0.16516
9	2	3	0.0442028	0.315849
9	3	0	0.0396536	0
9	3	1	0.0424652	0.150689
9	3	2	0.0456593	0.16516
9	3	3	0.0426854	0.315849
10	0	-1	0.5	0.1
10	1	-1	1	0.1
10	2	-1	0.5	0.1
10	3	-1	0	0.1
10	0	0	0.0266558	0
10	0	1	0.0321407	0.157468
10	0	2	0.0353879	0.239231
10	0	3	0.0361371	0.396699
10	1	0	0.0262227	0
10	1	1	0.0292708	0.157468
10	1	2	0.030729	0.239231
10	1	3	0.0418817	0.396699
10	2	0	0.0255915	0
10	2	1	0.0301233	0.157468
10	2	2	0.0329986	0.239231
10	2	3	0.0390335	0.396699
10	3	0	0.032898	0
10	3	1	0.036613	0.157468
