sim_num	stat	value
0	mean_gen	0.169526
0	var_gen	1.49147
0	ratio	40.5149
0	geom_fitness	0.27496
1	mean_gen	0.110702
1	var_gen	0.560266
1	ratio	15.7765
1	geom_fitness	0.27175
2	mean_gen	0.130704
2	var_gen	0.828924
2	ratio	25.0614
2	geom_fitness	0.275947
3	mean_gen	0.109002
3	var_gen	0.538972
3	ratio	13.4382
3	geom_fitness	0.271188
4	mean_gen	0.138601
4	var_gen	0.949166
4	ratio	26.3876
4	geom_fitness	0.274956
5	mean_gen	0.208189
5	var_gen	2.34153
5	ratio	51.0603
5	geom_fitness	0.272183
6	mean_gen	0.198471
6	var_gen	2.10137
6	ratio	49.6228
6	geom_fitness	0.270923
7	mean_gen	0.125892
7	var_gen	0.756087
7	ratio	24.1324
7	geom_fitness	0.273217
8	mean_gen	0.0101971
8	var_gen	0.0232259
8	ratio	0.399348
8	geom_fitness	0.263529
9	mean_gen	0.157925
9	var_gen	1.27186
9	ratio	32.8342
9	geom_fitness	0.275592
10	mean_gen	0.198349
10	var_gen	2.11115
10	ratio	48.2835
10	geom_fitness	0.274301
11	mean_gen	0.0822389
11	var_gen	0.275662
11	ratio	7.59477
11	geom_fitness	0.272883
12	mean_gen	0.127727
12	var_gen	0.787644
12	ratio	23.4287
12	geom_fitness	0.276771
13	mean_gen	0.0972789
13	var_gen	0.416008
13	ratio	11.3577
13	geom_fitness	0.27401
14	mean_gen	0.0748271
14	var_gen	0.21727
14	ratio	4.39879
14	geom_fitness	0.26456
15	mean_gen	0.0222487
15	var_gen	0.019094
15	ratio	0.344539
15	geom_fitness	0.263091
16	mean_gen	0.0882569
16	var_gen	0.325802
16	ratio	7.2636
16	geom_fitness	0.269328
17	mean_gen	0.162528
17	var_gen	1.35049
17	ratio	34.2421
17	geom_fitness	0.273593
18	mean_gen	0.118145
18	var_gen	0.655003
18	ratio	18.1642
18	geom_fitness	0.273647
19	mean_gen	0.0969791
19	var_gen	0.408873
19	ratio	10.9964
19	geom_fitness	0.270905
20	mean_gen	0.0843159
20	var_gen	0.293686
20	ratio	8.48018
20	geom_fitness	0.272938
21	mean_gen	0.121615
21	var_gen	0.696013
21	ratio	19.4734
21	geom_fitness	0.27039
22	mean_gen	0.113413
22	var_gen	0.591899
22	ratio	14.5395
22	geom_fitness	0.27145
23	mean_gen	0.19629
23	var_gen	2.06431
23	ratio	37.2733
23	geom_fitness	0.267266
24	mean_gen	0.138643
24	var_gen	0.945975
24	ratio	24.565
24	geom_fitness	0.272353
25	mean_gen	0.0774256
25	var_gen	0.2397
25	ratio	5.84716
25	geom_fitness	0.271831
26	mean_gen	0.0993724
26	var_gen	0.435526
26	ratio	11.7663
26	geom_fitness	0.27347
27	mean_gen	0.179645
27	var_gen	1.69255
27	ratio	40.4766
27	geom_fitness	0.272645
28	mean_gen	0.0964254
28	var_gen	0.409707
28	ratio	9.58509
28	geom_fitness	0.272596
29	mean_gen	0.118756
29	var_gen	0.662819
29	ratio	17.5856
29	geom_fitness	0.273861
30	mean_gen	0.151007
30	var_gen	1.14708
30	ratio	29.9072
30	geom_fitness	0.272704
31	mean_gen	0.144102
31	var_gen	1.03119
31	ratio	24.3832
31	geom_fitness	0.270609
32	mean_gen	0.10808
32	var_gen	0.533915
32	ratio	14.8527
32	geom_fitness	0.274392
33	mean_gen	0.166464
33	var_gen	1.43313
33	ratio	38.0205
33	geom_fitness	0.274556
34	mean_gen	0.137007
34	var_gen	0.916561
34	ratio	27.3347
34	geom_fitness	0.273513
35	mean_gen	0.166446
35	var_gen	1.42962
35	ratio	33.0114
35	geom_fitness	0.272608
36	mean_gen	0.172221
36	var_gen	1.5431
36	ratio	42.4224
36	geom_fitness	0.274381
37	mean_gen	0.163215
37	var_gen	1.36634
37	ratio	38.996
37	geom_fitness	0.273836
38	mean_gen	0.10698
38	var_gen	0.519687
38	ratio	16.0986
38	geom_fitness	0.274497
39	mean_gen	0.110683
39	var_gen	0.558907
39	ratio	17.4275
39	geom_fitness	0.271598
40	mean_gen	0.0835971
40	var_gen	0.291655
40	ratio	5.45256
40	geom_fitness	0.268319
41	mean_gen	0.102273
41	var_gen	0.467555
41	ratio	11.0194
41	geom_fitness	0.271454
42	mean_gen	0.132345
42	var_gen	0.851657
42	ratio	25.723
42	geom_fitness	0.275005
43	mean_gen	0.150409
43	var_gen	1.1425
43	ratio	28.1096
43	geom_fitness	0.274443
44	mean_gen	0.118663
44	var_gen	0.665416
44	ratio	13.9611
44	geom_fitness	0.27021
45	mean_gen	0.0286511
45	var_gen	0.0306055
45	ratio	0.319556
45	geom_fitness	0.25165
46	mean_gen	0.0587521
46	var_gen	0.119567
46	ratio	2.83718
46	geom_fitness	0.270221
47	mean_gen	0.179576
47	var_gen	1.68578
47	ratio	40.5536
47	geom_fitness	0.271987
48	mean_gen	0.153062
48	var_gen	1.18874
48	ratio	28.9664
48	geom_fitness	0.274435
49	mean_gen	0.145434
49	var_gen	1.05762
49	ratio	20.0354
49	geom_fitness	0.269689
50	mean_gen	0.13423
50	var_gen	0.884822
50	ratio	16.6395
50	geom_fitness	0.270679
51	mean_gen	0.135006
51	var_gen	0.891422
51	ratio	25.8098
51	geom_fitness	0.274054
52	mean_gen	0.144708
52	var_gen	1.03581
52	ratio	26.7981
52	geom_fitness	0.271791
53	mean_gen	0.137706
53	var_gen	0.934582
53	ratio	27.7306
53	geom_fitness	0.275328
54	mean_gen	0.207024
54	var_gen	2.31012
54	ratio	50.7933
54	geom_fitness	0.271714
55	mean_gen	0.151735
55	var_gen	1.16662
55	ratio	23.3698
55	geom_fitness	0.270037
56	mean_gen	0.144174
56	var_gen	1.03327
56	ratio	29.4585
56	geom_fitness	0.272878
57	mean_gen	0.112708
57	var_gen	0.583947
57	ratio	18.0654
57	geom_fitness	0.272562
58	mean_gen	0.165296
58	var_gen	1.41048
58	ratio	37.779
58	geom_fitness	0.274469
59	mean_gen	0.0417831
59	var_gen	0.0509668
59	ratio	1.10404
59	geom_fitness	0.267426
60	mean_gen	0.175972
60	var_gen	1.62126
60	ratio	41.5092
60	geom_fitness	0.274893
61	mean_gen	0.105944
61	var_gen	0.512136
61	ratio	12.6634
61	geom_fitness	0.274859
62	mean_gen	0.129983
62	var_gen	0.816411
62	ratio	21.4534
62	geom_fitness	0.272246
63	mean_gen	0.137048
