sim_num	time	gamete_num	opti_G
0	0	-1	0.5
0	0	0	0.0250315
0	0	1	0.0396761
0	0	2	0.0304222
0	0	3	0.04854
1	0	-1	0.5
1	0	0	0.0292143
1	0	1	0.0415606
1	0	2	0.0320805
1	0	3	0.0459365
2	0	-1	0.5
2	0	0	0.0268372
2	0	1	0.0333877
2	0	2	0.0322565
2	0	3	0.0419028
3	0	-1	0.5
3	0	0	0.0233994
3	0	1	0.0298416
3	0	2	0.0314875
3	0	3	0.0428448
4	0	-1	0.5
4	0	0	0.0267335
4	0	1	0.0326308
4	0	2	0.0323222
4	0	3	0.0413591
5	0	-1	0.5
5	0	0	0.0275379
5	0	1	0.0328354
5	0	2	0.0371302
5	0	3	0.0486862
6	0	-1	0.5
6	0	0	0.0307389
6	0	1	0.0329703
6	0	2	0.0357265
6	0	3	0.040328
7	0	-1	0.5
7	0	0	0.0219236
7	0	1	0.0270166
7	0	2	0.0318302
7	0	3	0.0431526
8	0	-1	0.5
8	0	0	0.0262277
8	0	1	0.0323081
8	0	2	0.0333603
8	0	3	0.043551
9	0	-1	0.5
9	0	0	0.0257537
9	0	1	0.0314173
9	0	2	0.0342449
9	0	3	0.0450332
10	0	-1	0.5
10	0	0	0.023991
10	0	1	0.0290671
10	0	2	0.0347058
10	0	3	0.0470446
11	0	-1	0.5
11	0	0	0.0214255
11	0	1	0.032425
11	0	2	0.0316683
11	0	3	0.050776
12	0	-1	0.5
12	0	0	0.0241905
12	0	1	0.0286811
12	0	2	0.0333807
12	0	3	0.0433385
13	0	-1	0.5
13	0	0	0.0307077
13	0	1	0.0385524
13	0	2	0.033758
13	0	3	0.0432635
14	0	-1	0.5
14	0	0	0.0292031
14	0	1	0.0354457
14	0	2	0.035139
14	0	3	0.0445585
15	0	-1	0.5
15	0	0	0.0269301
15	0	1	0.0360961
15	0	2	0.031147
15	0	3	0.042911
16	0	-1	0.5
16	0	0	0.0218873
16	0	1	0.0291202
16	0	2	0.0319068
16	0	3	0.0460451
17	0	-1	0.5
17	0	0	0.0204489
17	0	1	0.032438
17	0	2	0.0302495
17	0	3	0.0499336
18	0	-1	0.5
18	0	0	0.0245945
18	0	1	0.0321386
18	0	2	0.0315235
18	0	3	0.0432652
19	0	-1	0.5
19	0	0	0.0289434
19	0	1	0.0400557
19	0	2	0.0320253
19	0	3	0.0448923
20	0	-1	0.5
20	0	0	0.0275186
20	0	1	0.0370521
20	0	2	0.0343862
20	0	3	0.0481223
21	0	-1	0.5
21	0	0	0.0216775
21	0	1	0.0312476
21	0	2	0.031192
21	0	3	0.0476378
22	0	-1	0.5
22	0	0	0.0264109
22	0	1	0.0418628
22	0	2	0.0295362
22	0	3	0.0468745
23	0	-1	0.5
23	0	0	0.0242781
23	0	1	0.0313071
23	0	2	0.0347022
23	0	3	0.0492505
24	0	-1	0.5
24	0	0	0.0209778
24	0	1	0.0262932
24	0	2	0.0318464
24	0	3	0.0444605
25	0	-1	0.5
25	0	0	0.0201094
25	0	1	0.0269876
25	0	2	0.0309838
25	0	3	0.0455861
26	0	-1	0.5
26	0	0	0.0284484
26	0	1	0.041756
26	0	2	0.0319338
26	0	3	0.0470927
27	0	-1	0.5
27	0	0	0.023623
27	0	1	0.0385539
27	0	2	0.0298555
27	0	3	0.0490608
28	0	-1	0.5
28	0	0	0.0189775
28	0	1	0.0270171
28	0	2	0.0292914
28	0	3	0.0446652
29	0	-1	0.5
29	0	0	0.0231952
29	0	1	0.0357364
29	0	2	0.0306741
29	0	3	0.048454
30	0	-1	0.5
30	0	0	0.0238529
30	0	1	0.0354163
30	0	2	0.0303984
30	0	3	0.0462952
31	0	-1	0.5
31	0	0	0.025769
31	0	1	0.0349658
31	0	2	0.0313827
31	0	3	0.0440069
32	0	-1	0.5
32	0	0	0.0231957
32	0	1	0.0323715
32	0	2	0.0322554
32	0	3	0.047763
33	0	-1	0.5
33	0	0	0.0315173
33	0	1	0.0385814
33	0	2	0.0347195
33	0	3	0.0433972
34	0	-1	0.5
34	0	0	0.0220085
34	0	1	0.0280575
34	0	2	0.0310743
34	0	3	0.0427782
35	0	-1	0.5
35	0	0	0.0265655
35	0	1	0.0361124
35	0	2	0.0308142
35	0	3	0.0430118
36	0	-1	0.5
36	0	0	0.0228079
36	0	1	0.0354952
36	0	2	0.031796
36	0	3	0.0513691
37	0	-1	0.5
37	0	0	0.0201065
37	0	1	0.0271961
37	0	2	0.0302309
37	0	3	0.0442357
38	0	-1	0.5
38	0	0	0.0243085
38	0	1	0.0320492
38	0	2	0.0315458
38	0	3	0.0437387
39	0	-1	0.5
39	0	0	0.0211786
39	0	1	0.0313818
39	0	2	0.0285168
39	0	3	0.0436203
40	0	-1	0.5
40	0	0	0.0290734
40	0	1	0.0324454
40	0	2	0.0358434
40	0	3	0.0426414
41	0	-1	0.5
41	0	0	0.0252608
41	0	1	0.0306518
41	0	2	0.0348806
41	0	3	0.0464328
42	0	-1	0.5
42	0	0	0.0196683
42	0	1	0.0280686
42	0	2	0.0301999
42	0	3	0.0463072
43	0	-1	0.5
43	0	0	0.0239259
43	0	1	0.031571
43	0	2	0.0346297
43	0	3	0.0503371
44	0	-1	0.5
44	0	0	0.0215566
44	0	1	0.0297881
44	0	2	0.0315518
44	0	3	0.0468972
45	0	-1	0.5
45	0	0	0.0300065
45	0	1	0.0356613
45	0	2	0.0349069
45	0	3	0.0430909
46	0	-1	0.5
46	0	0	0.0287431
46	0	1	0.0337842
46	0	2	0.0337201
46	0	3	0.041431
47	0	-1	0.5
47	0	0	0.0258828
