sim_num	stat	value
0	mean_gen	0.291497
0	var_gen	1.20754
0	ratio	1.79656
0	geom_fitness	0.316439
1	mean_gen	0.287415
1	var_gen	1.1757
1	ratio	6.65325
1	geom_fitness	0.325218
2	mean_gen	0.2786
2	var_gen	1.10409
2	ratio	4.56027
2	geom_fitness	0.325533
3	mean_gen	0.283469
3	var_gen	1.14656
3	ratio	4.67719
3	geom_fitness	0.330928
4	mean_gen	0.28037
4	var_gen	1.11804
4	ratio	9.82306
4	geom_fitness	0.326438
5	mean_gen	0.29755
5	var_gen	1.25872
5	ratio	2.54387
5	geom_fitness	0.320349
6	mean_gen	0.293243
6	var_gen	1.22354
6	ratio	3.71635
6	geom_fitness	0.323585
7	mean_gen	0.280261
7	var_gen	1.11334
7	ratio	3.80311
7	geom_fitness	0.316598
8	mean_gen	0.283978
8	var_gen	1.14688
8	ratio	5.09686
8	geom_fitness	0.323577
9	mean_gen	0.288441
9	var_gen	1.18686
9	ratio	10.6818
9	geom_fitness	0.329769
10	mean_gen	0.28714
10	var_gen	1.17065
10	ratio	3.52787
10	geom_fitness	0.32016
11	mean_gen	0.276505
11	var_gen	1.09063
11	ratio	17.1152
11	geom_fitness	0.329399
12	mean_gen	0.292944
12	var_gen	1.21855
12	ratio	2.44674
12	geom_fitness	0.317427
13	mean_gen	0.28375
13	var_gen	1.14733
13	ratio	2.83652
13	geom_fitness	0.324852
14	mean_gen	0.288818
14	var_gen	1.18769
14	ratio	3.13483
14	geom_fitness	0.324864
15	mean_gen	0.287569
15	var_gen	1.175
15	ratio	5.10404
15	geom_fitness	0.322676
16	mean_gen	0.289034
16	var_gen	1.18657
16	ratio	2.57802
16	geom_fitness	0.316996
17	mean_gen	0.292989
17	var_gen	1.21856
17	ratio	3.57535
17	geom_fitness	0.318429
18	mean_gen	0.283786
18	var_gen	1.14424
18	ratio	2.55672
18	geom_fitness	0.318833
19	mean_gen	0.279152
19	var_gen	1.10928
19	ratio	4.43865
19	geom_fitness	0.326689
20	mean_gen	0.294199
20	var_gen	1.24736
20	ratio	1.17253
20	geom_fitness	0.328153
21	mean_gen	0.288029
21	var_gen	1.18153
21	ratio	2.58904
21	geom_fitness	0.322215
22	mean_gen	0.294782
22	var_gen	1.2356
22	ratio	3.14023
22	geom_fitness	0.321792
23	mean_gen	0.292425
23	var_gen	1.21521
23	ratio	4.02125
23	geom_fitness	0.321905
24	mean_gen	0.28126
24	var_gen	1.1306
24	ratio	3.59598
24	geom_fitness	0.331426
25	mean_gen	0.275709
25	var_gen	1.0823
25	ratio	3.06713
