sim_num	stat	value
0	mean_gen	0.286373
0	var_gen	1.16631
0	ratio	5.49945
0	geom_fitness	0.324957
1	mean_gen	0.288505
1	var_gen	1.18409
1	ratio	4.65102
1	geom_fitness	0.323296
2	mean_gen	0.271955
2	var_gen	1.05834
2	ratio	30.4445
2	geom_fitness	0.333612
3	mean_gen	0.29364
3	var_gen	1.22973
3	ratio	3.34991
3	geom_fitness	0.326902
4	mean_gen	0.289963
4	var_gen	1.19582
4	ratio	3.09571
4	geom_fitness	0.32036
5	mean_gen	0.291061
5	var_gen	1.20316
5	ratio	3.42974
5	geom_fitness	0.32008
6	mean_gen	0.282982
6	var_gen	1.14106
6	ratio	7.2247
6	geom_fitness	0.329498
7	mean_gen	0.286533
7	var_gen	1.16622
7	ratio	2.89524
7	geom_fitness	0.31879
8	mean_gen	0.286517
8	var_gen	1.16467
8	ratio	3.65229
8	geom_fitness	0.317697
9	mean_gen	0.279393
9	var_gen	1.12416
9	ratio	10.9426
9	geom_fitness	0.340814
