sim_num,stat,value
0,mean_gen,0.5
0,var_gen,3.75
0,ratio,8.58894
0,geom_fitness,0.153355
1,mean_gen,0.5
1,var_gen,3.75
1,ratio,13.7711
1,geom_fitness,0.153355
2,mean_gen,0.5
2,var_gen,3.75
2,ratio,13.3272
2,geom_fitness,0.153355
3,mean_gen,0.5
3,var_gen,3.75
3,ratio,18.6898
3,geom_fitness,0.153355
4,mean_gen,0.5
4,var_gen,3.75
4,ratio,43.4724
4,geom_fitness,0.153355
5,mean_gen,0.5
5,var_gen,3.75
5,ratio,12.6075
5,geom_fitness,0.153355
6,mean_gen,0.5
6,var_gen,3.75
6,ratio,41.3294
6,geom_fitness,0.153355
7,mean_gen,0.5
7,var_gen,3.75
7,ratio,15.6356
7,geom_fitness,0.153355
8,mean_gen,0.5
8,var_gen,3.75
8,ratio,17.4966
8,geom_fitness,0.153355
9,mean_gen,0.5
9,var_gen,3.75
9,ratio,8.68284
9,geom_fitness,0.153355
10,mean_gen,0.5
10,var_gen,3.75
10,ratio,16.5013
10,geom_fitness,0.153355
11,mean_gen,0.5
11,var_gen,3.75
11,ratio,17.979
11,geom_fitness,0.153355
12,mean_gen,0.5
12,var_gen,3.75
12,ratio,112.623
12,geom_fitness,0.153355
13,mean_gen,0.5
13,var_gen,3.75
13,ratio,36.0162
13,geom_fitness,0.153355
14,mean_gen,0.5
14,var_gen,3.75
14,ratio,4.1315
14,geom_fitness,0.153355
15,mean_gen,0.5
15,var_gen,3.75
15,ratio,28.1884
15,geom_fitness,0.153355
16,mean_gen,0.5
16,var_gen,3.75
16,ratio,14.0148
16,geom_fitness,0.153355
17,mean_gen,0.5
17,var_gen,3.75
17,ratio,12.3925
17,geom_fitness,0.153355
18,mean_gen,0.5
18,var_gen,3.75
18,ratio,10.3398
18,geom_fitness,0.153355
19,mean_gen,0.5
19,var_gen,3.75
19,ratio,18.7768
19,geom_fitness,0.153355
20,mean_gen,0.5
20,var_gen,3.75
20,ratio,10.8977
20,geom_fitness,0.153355
21,mean_gen,0.5
21,var_gen,3.75
21,ratio,5.51012
21,geom_fitness,0.153355
22,mean_gen,0.5
22,var_gen,3.75
22,ratio,44.7952
22,geom_fitness,0.153355
23,mean_gen,0.5
23,var_gen,3.75
23,ratio,12.7847
23,geom_fitness,0.153355
24,mean_gen,0.5
24,var_gen,3.75
24,ratio,13.3514
24,geom_fitness,0.153355
25,mean_gen,0.5
25,var_gen,3.75
25,ratio,13.1304
25,geom_fitness,0.153355
26,mean_gen,0.5
26,var_gen,3.75
26,ratio,7.39972
26,geom_fitness,0.153355
27,mean_gen,0.5
27,var_gen,3.75
27,ratio,4.62665
27,geom_fitness,0.153355
28,mean_gen,0.5
28,var_gen,3.75
28,ratio,14.1847
28,geom_fitness,0.153355
29,mean_gen,0.5
29,var_gen,3.75
29,ratio,19.3371
29,geom_fitness,0.153355
30,mean_gen,0.5
30,var_gen,3.75
30,ratio,12.5996
30,geom_fitness,0.153355
31,mean_gen,0.5
31,var_gen,3.75
31,ratio,10.842
31,geom_fitness,0.153355
32,mean_gen,0.5
32,var_gen,3.75
32,ratio,20.7795
32,geom_fitness,0.153355
33,mean_gen,0.5
33,var_gen,3.75
33,ratio,8.87846
33,geom_fitness,0.153355
34,mean_gen,0.5
34,var_gen,3.75
34,ratio,10.843
34,geom_fitness,0.153355
35,mean_gen,0.5
35,var_gen,3.75
35,ratio,16.9905
35,geom_fitness,0.153355
36,mean_gen,0.5
36,var_gen,3.75
36,ratio,17.1346
36,geom_fitness,0.153355
37,mean_gen,0.5
37,var_gen,3.75
37,ratio,10.844
37,geom_fitness,0.153355
38,mean_gen,0.5
38,var_gen,3.75
38,ratio,9.20767
38,geom_fitness,0.153355
39,mean_gen,0.5
39,var_gen,3.75
39,ratio,6.08428
39,geom_fitness,0.153355
40,mean_gen,0.5
40,var_gen,3.75
40,ratio,7.97053
40,geom_fitness,0.153355
41,mean_gen,0.5
41,var_gen,3.75
41,ratio,12.3936
41,geom_fitness,0.153355
42,mean_gen,0.5
42,var_gen,3.75
42,ratio,13.7034
42,geom_fitness,0.153355
43,mean_gen,0.5
43,var_gen,3.75
43,ratio,13.8293
43,geom_fitness,0.153355
44,mean_gen,0.5
44,var_gen,3.75
44,ratio,24.197
44,geom_fitness,0.153355
45,mean_gen,0.5
45,var_gen,3.75
45,ratio,47.4437
45,geom_fitness,0.153355
46,mean_gen,0.5
46,var_gen,3.75
46,ratio,21.3278
46,geom_fitness,0.153355
47,mean_gen,0.5
47,var_gen,3.75
47,ratio,26.9547
47,geom_fitness,0.153355
48,mean_gen,0.5
48,var_gen,3.75
48,ratio,8.12238
48,geom_fitness,0.153355
49,mean_gen,0.5
49,var_gen,3.75
49,ratio,9.44781
49,geom_fitness,0.153355
50,mean_gen,0.5
50,var_gen,3.75
50,ratio,11.2706
50,geom_fitness,0.153355
51,mean_gen,0.5
51,var_gen,3.75
51,ratio,10.1918
51,geom_fitness,0.153355
52,mean_gen,0.5
52,var_gen,3.75
52,ratio,11.7673
52,geom_fitness,0.153355
53,mean_gen,0.5
53,var_gen,3.75
53,ratio,6.68731
53,geom_fitness,0.153355
54,mean_gen,0.5
54,var_gen,3.75
