fig_n,amplitude,mut,stoch,n_loci,selec,rec
2,**0.25**,**0**,0,4,5,r
2,**0.5**,**0**,0,4,5,r
2,**1**,**0**,0,4,5,r
2,**0.25**,**10^(-6)**,0,4,5,r
2,**0.5**,**10^(-6)**,0,4,5,r
2,**1**,**10^(-6)**,0,4,5,r
2,**0.25**,**10^(-5)**,0,4,5,r
2,**0.5**,**10^(-5)**,0,4,5,r
2,**1**,**10^(-5)**,0,4,5,r
3,0.5,**0**,0,4,5,r
3,0.5,**10^(-7)**,0,4,5,r
3,0.5,**10^(-6)**,0,4,5,r
3,0.5,**10^(-5)**,0,4,5,r
3,0.5,**10^(-4)**,0,4,5,r
4,0.5,**0**,0,4,**1**,**r**
4,0.5,**10^(-5)**,0,4,**1**,**r**
4,0.5,**0**,0,4,**5**,**r**
4,0.5,**10^(-5)**,0,4,**5**,**r**
4,0.5,**0**,0,4,**5**,**0.005**
4,0.5,**10^(-5)**,0,4,**5**,**0.005**
5,0.5,**0**,0,**2**,5,r
5,0.5,**10^(-5)**,0,**2**,5,r
5,0.5,**0**,0,**4**,5,r
5,0.5,**10^(-5)**,0,**4**,5,r
5,0.5,**0**,0,**6**,5,r
5,0.5,**10^(-5)**,0,**6**,5,r
6,0.5,**0**,**0**,4,5,r
6,0.5,**10^(-6)**,**0**,4,5,r
6,0.5,**10^(-5)**,**0**,4,5,r
6,0.5,**10^(-4)**,**0**,4,5,r
6,0.5,**0**,**0.5**,4,5,r
6,0.5,**10^(-6)**,**0.5**,4,5,r
6,0.5,**10^(-5)**,**0.5**,4,5,r
6,0.5,**10^(-4)**,**0.5**,4,5,r
6,0.5,**0**,**1**,4,5,r
6,0.5,**10^(-6)**,**1**,4,5,r
6,0.5,**10^(-5)**,**1**,4,5,r
6,0.5,**10^(-4)**,**1**,4,5,r
